Date,Adj Close,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2014-01-31,100.08771514892578,120.43395233154297,121.6320571899414,120.19432830810547,120.81734466552734,8416177,2014.0,1.0,31.0,121.02821502685546,123.71677169799804,127.0259494781494,29.621371054522868,-2.759598582592929,-2.1580317603501085,-0.6015668222428205,125.6956880939484,126.45804595947266,4.293983707526789,135.04601337452624,117.87007854441909,-1.450979701754329,2.2832554408482144,122.2071533203125,122.2071533203125,122.6384735107422,121.39244079589844
2014-02-03,96.98110961914062,116.69584655761719,120.81734466552734,116.55207824707031,120.43395233154297,15743847,2014.0,2.0,3.0,121.20074310302736,122.72473754882812,126.45804595947266,26.388879237423325,-3.10062192315452,-2.346549792910991,-0.7540721302435291,125.01594601876737,125.7080291748047,4.627944794154812,134.96391876311432,116.45213958649506,-3.1038637373912104,2.4441446576799666,120.43395233154295,120.81734466552734,121.6320571899414,120.19432830810548
2014-02-04,97.85733795166016,117.75018310546875,118.75659942626953,116.93547058105469,117.55848693847656,9568409,2014.0,2.0,4.0,120.51063079833985,121.65602340698244,125.7080291748047,26.095633322931647,-3.2483641101117087,-2.5269126563511346,-0.7214514537605741,124.69706541619122,125.06344604492188,4.799202826559492,134.66185169804086,115.46504039180287,0.903491065837536,2.498915536063058,116.6958465576172,120.43395233154295,120.81734466552734,116.55207824707033
2014-02-05,97.65821075439453,117.51056671142578,118.08565521240234,116.55207824707031,117.22301483154297,8400673,2014.0,2.0,5.0,119.65757598876954,120.83172378540038,125.06344604492188,20.0,-3.3462128394734947,-2.6907726929756066,-0.6554401464978881,124.4304294629453,124.39969367980956,4.883409311442569,134.1665123026947,114.63287505692443,-0.2034955596020959,2.461259569440569,117.75018310546876,117.55848693847656,118.75659942626952,116.93547058105467
2014-02-06,99.37081146240234,119.5713119506836,120.29017639160156,117.98980712890625,118.85244750976562,9332287,2014.0,2.0,6.0,118.91954040527344,120.12723541259766,124.39969367980956,27.45490572785548,-3.220351536104204,-2.796688461601326,-0.4236630745028775,124.23807974393938,123.85814819335936,4.782223337877934,133.42259486911524,114.2937015176035,1.7536680291215356,2.57080078125,117.51056671142578,117.22301483154295,118.08565521240234,116.55207824707033
2014-02-07,100.32667541503906,120.72149658203125,121.15281677246094,119.8109359741211,120.76942443847656,7244936,2014.0,2.0,7.0,118.39237213134766,119.71029357910156,123.85814819335936,34.924067379172044,-2.993290469868569,-2.836008863254775,-0.1572816066137941,124.13323273191372,123.3717155456543,4.566325876665512,132.50436729898533,114.23906379232328,0.9619235689427352,2.368833814348493,119.5713119506836,118.85244750976562,120.29017639160156,117.98980712890624
2014-02-10,99.76909637451172,120.05055236816406,121.67998504638672,119.4754638671875,121.67998504638672,6886767,2014.0,2.0,10.0,118.44988098144532,119.82531204223632,123.3717155456543,36.09864190339125,-2.834804666147789,-2.835768023833378,0.0009633576855883,124.0207141609136,122.91403732299804,4.406927210461485,131.72789174392102,114.10018290207508,-0.5557785753685374,2.28667722429548,120.72149658203124,120.76942443847656,121.15281677246094,119.8109359741211
2014-02-11,101.28253936767578,121.8716812133789,122.3030014038086,120.57772064208984,120.81734466552734,6799755,2014.0,2.0,11.0,119.12082214355468,119.81572647094728,122.91403732299804,43.83258977334131,-2.5330541751112463,-2.7752252540889515,0.2421710789777051,123.96378434330228,122.6025287628174,4.237871054869298,131.07827087255598,114.1267866530788,1.51696831817143,2.338025229317801,120.05055236816406,121.67998504638672,121.67998504638672,119.4754638671875
2014-02-12,101.12327575683594,121.67998504638672,122.83016967773438,121.48828887939453,122.5426254272461,5264106,2014.0,2.0,12.0,119.94512176513672,119.80134887695311,122.6025287628174,45.12472203771624,-2.2830652604112203,-2.676793255353405,0.3937279949421852,123.91788890678968,122.22392654418944,3.940343997874733,130.10461453993892,114.34323854843998,-0.157293445929052,2.276408059256417,121.8716812133789,120.81734466552734,122.3030014038086,120.57772064208984
2014-02-13,101.32239532470703,121.91960906982422,121.91960906982422,120.33810424804688,120.91319274902344,6751721,2014.0,2.0,13.0,120.77900543212893,119.84927291870116,122.22392654418944,56.82452105784555,-2.0420718551679187,-2.5498489753163085,0.5077771201483898,123.8676771335942,121.7686450958252,3.352012802979788,128.47267070178478,115.06461948986562,0.1969296950078858,2.091557094029018,121.67998504638672,122.5426254272461,122.83016967773438,121.48828887939452
